StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_5_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_6_TEXT,Q21
2022-09-26 12:04:50,2022-09-26 12:24:45,IP Address,*******,100,1195,True,2022-09-26 12:24:45,R_24MduOiEMK4rWz4,*******,*******,*******,*******,*******,*******,anonymous,EN,ama386,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,,,"Sometimes I am nervous to post an idea in fear that it is not totally correct. If there could be a feature where someone tells you if it is incorrect but in a non-critical way that would be cool for my learning. "
2022-09-26 12:23:44,2022-09-26 12:24:51,IP Address,*******,100,66,True,2022-09-26 12:24:51,R_3iKAdgyrYuwCL04,*******,*******,*******,*******,*******,*******,anonymous,EN,kl983,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,Add a filter to only see posts by friends,,,
2022-09-26 13:07:29,2022-09-26 13:10:17,IP Address,*******,100,167,True,2022-09-26 13:10:17,R_8CCIArinLS8y3ex,*******,*******,*******,*******,*******,*******,anonymous,EN,alm384,Yes,"Whenever I type something up for a post and submit it, the website says it failed. I refresh and my response is gone so I have to retype my entire response. ",Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",Add links to profiles of whom left comments,,,,"This was such a cool concept! Good work "
2022-09-26 14:08:36,2022-09-26 14:09:49,IP Address,*******,100,73,True,2022-09-26 14:09:49,R_6nuH9BL251KKRtn,*******,*******,*******,*******,*******,*******,anonymous,EN,mtq6,Yes,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,Add a title to the post to summarize the post content,,,,,,Add links to profiles of whom left comments,,,,
2022-09-26 14:30:30,2022-09-26 14:33:09,IP Address,*******,100,159,True,2022-09-26 14:33:10,R_20VACum7Fj9YTH2,*******,*******,*******,*******,*******,*******,anonymous,EN,rmb358,No,,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,"Others, please specify","I find using my laptop is better than using my phone to post. ","Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-26 16:07:56,2022-09-26 16:11:04,IP Address,*******,100,187,True,2022-09-26 16:11:04,R_1pYhV0AAXcwDLwv,*******,*******,*******,*******,*******,*******,anonymous,EN,crd229,Yes,There was often a duplicate made of my post when I posted.,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,N/A
2022-09-26 19:15:46,2022-09-26 19:54:46,IP Address,*******,100,2339,True,2022-09-26 19:54:47,R_RlgAOtZpuDG7Fuh,*******,*******,*******,*******,*******,*******,anonymous,EN,Mc2595,Yes,Posting a comment and then it would show up many / not able to resetting my password so I had to make a new acc,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,Should use mobile device instead of laptop to post,,,,,Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-26 21:23:05,2022-09-26 21:33:09,IP Address,*******,100,604,True,2022-09-26 21:33:10,R_3KxSrxII1mDbT2T,*******,*******,*******,*******,*******,*******,anonymous,EN,ss3298,No,,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-26 21:49:01,2022-09-26 21:50:42,IP Address,*******,100,100,True,2022-09-26 21:50:42,R_2dtlIFPp9z4QFZw,*******,*******,*******,*******,*******,*******,anonymous,EN,jz485,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-26 21:51:51,2022-09-26 21:52:23,IP Address,*******,100,32,True,2022-09-26 21:52:23,R_3fHLALVa4fuUUh2,*******,*******,*******,*******,*******,*******,anonymous,EN,jz485,No,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Comments should NOT be mandatory,,,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-27 06:26:53,2022-09-27 06:30:34,IP Address,*******,100,220,True,2022-09-27 06:30:34,R_NV0dpA3eEKw3Xqx,*******,*******,*******,*******,*******,*******,anonymous,EN,yl3262,Yes,"Cannot use ""forget password"" feature",Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Comments should NOT be mandatory,,,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-27 09:55:04,2022-09-27 09:56:54,IP Address,*******,100,109,True,2022-09-27 09:56:54,R_279AUlkiUy9rSm7,*******,*******,*******,*******,*******,*******,anonymous,EN,jk2384,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,,"Others, please specify",NA,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-27 12:47:39,2022-09-27 12:49:08,IP Address,*******,100,89,True,2022-09-27 12:49:09,R_3gZ6EoVnzyAarbo,*******,*******,*******,*******,*******,*******,anonymous,EN,cql2,No,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,,,N/A
2022-09-27 13:11:14,2022-09-27 13:13:19,IP Address,*******,100,125,True,2022-09-27 13:13:20,R_10Z6DfMqfdgk4Tj,*******,*******,*******,*******,*******,*******,anonymous,EN,nae36,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-27 21:22:42,2022-09-27 21:23:59,IP Address,*******,100,77,True,2022-09-27 21:23:59,R_1f3qdhEzQLvFJRY,*******,*******,*******,*******,*******,*******,anonymous,EN,xw593,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-28 08:38:52,2022-09-28 08:40:55,IP Address,*******,100,123,True,2022-09-28 08:40:56,R_3eaVjyhT9GV9u1J,*******,*******,*******,*******,*******,*******,anonymous,EN,grs226,No,,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-28 09:43:25,2022-09-28 09:51:19,IP Address,*******,100,473,True,2022-09-28 09:51:19,R_eh9tiNSBDiVlLsl,*******,*******,*******,*******,*******,*******,anonymous,EN,vas57,Yes,"When I post a comment, the comment is posted but also remains in the text box for typing (could be accidentally posted twice because of this). ",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,,"Others, please specify","Commenting is really helpful but can be superficial when considered mandatory. That being said, if not mandatory, people will not comment and there will be little interaction between students in the community. Keep comments mandatory and hope for the best.","Show the topic (HER process) of each post in ""community"" page",,,,,"Others, please specify","In showing the topics, it makes filtering easier so you can focus on whichever HER process you need to post for or need help in understanding.",Maybe increase the character limit? I hit the limit when explaining behavioral toxicology and I'm sure I had more to say to support my answer (which was a nontraditional answer therefore needed more support). Not necessary but just a concept.
2022-09-28 20:02:16,2022-09-28 20:03:24,IP Address,*******,100,67,True,2022-09-28 20:03:25,R_u2EZHbvkhw5Z0bL,*******,*******,*******,*******,*******,*******,anonymous,EN,lhl52,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-29 12:16:48,2022-09-29 12:20:31,IP Address,*******,100,222,True,2022-09-29 12:20:31,R_3kuZfKtaKGWabla,*******,*******,*******,*******,*******,*******,anonymous,EN,smf267,No,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,"If you want people to use only their phones, make an actual app."
2022-09-29 13:08:37,2022-09-29 13:11:28,IP Address,*******,100,171,True,2022-09-29 13:11:29,R_3qDrxp8XAVJBA6a,*******,*******,*******,*******,*******,*******,anonymous,EN,eam358,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,Add a title to the post to summarize the post content,"Others, please specify",add a title where we can say what process we are posting about,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-29 14:03:00,2022-09-29 14:04:36,IP Address,*******,100,95,True,2022-09-29 14:04:36,R_3fATBPHJ9t4Q618,*******,*******,*******,*******,*******,*******,anonymous,EN,sd697,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-29 19:19:30,2022-09-29 19:21:32,IP Address,*******,100,122,True,2022-09-29 19:21:33,R_O3wwlXBOiThiXLj,*******,*******,*******,*******,*******,*******,anonymous,EN,kcw48,Yes,"When I try to go see other people’s post sometimes it doesn’t really work but if I refresh a few times it does. ",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-29 20:18:16,2022-09-29 20:22:19,IP Address,*******,100,243,True,2022-09-29 20:22:20,R_24c8UmttmGzetU6,*******,*******,*******,*******,*******,*******,anonymous,EN,iym4,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,"Others, please specify",I think it's good as is,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-29 21:43:58,2022-09-29 21:45:37,IP Address,*******,100,98,True,2022-09-29 21:45:37,R_3J1SCNKAwwnajj0,*******,*******,*******,*******,*******,*******,anonymous,EN,crd229,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,N/A
2022-09-30 06:51:31,2022-09-30 07:00:50,IP Address,*******,100,559,True,2022-09-30 07:00:50,R_AFeSPTbt6WLsF4l,*******,*******,*******,*******,*******,*******,anonymous,EN,ih234,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-30 07:40:12,2022-09-30 07:43:28,IP Address,*******,100,196,True,2022-09-30 07:43:28,R_2OVeOZikhl8RVBf,*******,*******,*******,*******,*******,*******,anonymous,EN,rnp36,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Comments should NOT be mandatory,,,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-30 08:17:54,2022-09-30 08:19:39,IP Address,*******,100,105,True,2022-09-30 08:19:40,R_2ANNa27KjCZh8gW,*******,*******,*******,*******,*******,*******,anonymous,EN,Ac2332,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,Some peoples posts are not really proper/ serious. I think they should take this project more seriously.
2022-09-30 08:38:03,2022-09-30 08:38:58,IP Address,*******,100,54,True,2022-09-30 08:38:58,R_2aLFQSlE92mCAvT,*******,*******,*******,*******,*******,*******,anonymous,EN,lc925,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,,,,,,,,Add links to profiles of whom left comments,Add a filter to only see posts by friends,,,
2022-09-30 08:37:45,2022-09-30 08:39:49,IP Address,*******,100,124,True,2022-09-30 08:39:49,R_31vkrNPct6UqeQT,*******,*******,*******,*******,*******,*******,anonymous,EN,jdm457,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-30 08:38:32,2022-09-30 08:40:13,IP Address,*******,100,101,True,2022-09-30 08:40:14,R_3j9vPdXdjGiZ48F,*******,*******,*******,*******,*******,*******,anonymous,EN,ajm454,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,Add a filter to only see posts by friends,,,
2022-09-30 09:21:25,2022-09-30 09:22:20,IP Address,*******,100,55,True,2022-09-30 09:22:21,R_22xAzBaFwE27orM,*******,*******,*******,*******,*******,*******,anonymous,EN,kv245,No,,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,Add links to profiles of whom left comments,,,,
2022-09-30 09:49:28,2022-09-30 09:51:18,IP Address,*******,100,110,True,2022-09-30 09:51:18,R_3NRq0DBTvmoVMFn,*******,*******,*******,*******,*******,*******,anonymous,EN,jty26,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,Add links to profiles of whom left comments,Add a filter to only see posts by friends,,,no
2022-09-30 10:05:19,2022-09-30 10:06:54,IP Address,*******,100,94,True,2022-09-30 10:06:54,R_Oe3OozbkyYMyi5j,*******,*******,*******,*******,*******,*******,anonymous,EN,ey264,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Comments should NOT be mandatory,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-09-30 11:03:59,2022-09-30 11:05:11,IP Address,*******,100,71,True,2022-09-30 11:05:12,R_1C7JSlAeMojB1lC,*******,*******,*******,*******,*******,*******,anonymous,EN,ac2326,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,,Add links to profiles of whom left comments,,,,
2022-09-30 12:31:19,2022-09-30 12:31:43,IP Address,*******,100,23,True,2022-09-30 12:31:43,R_3qPSFWA1GfUvCa7,*******,*******,*******,*******,*******,*******,anonymous,EN,xz283,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,,Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-30 12:31:22,2022-09-30 12:32:21,IP Address,*******,100,59,True,2022-09-30 12:32:22,R_1gqdlDKUo8tGL5g,*******,*******,*******,*******,*******,*******,anonymous,EN,jhz23,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,Should use mobile device instead of laptop to post,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-30 12:31:44,2022-09-30 12:32:43,IP Address,*******,100,58,True,2022-09-30 12:32:43,R_dckt7z9fHg03AnT,*******,*******,*******,*******,*******,*******,anonymous,EN,Eh546,Yes,Doesn’t load,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-30 12:31:54,2022-09-30 12:33:08,IP Address,*******,100,74,True,2022-09-30 12:33:08,R_Yc3tDIdClkvvgiJ,*******,*******,*******,*******,*******,*******,anonymous,EN,Cml324,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Comments should NOT be mandatory,,,,,,"Show the topic (HER process) of each post in ""community"" page",,,Add links to profiles of whom left comments,,,,
2022-09-30 12:32:13,2022-09-30 12:33:10,IP Address,*******,100,57,True,2022-09-30 12:33:10,R_3R1mYEg8MRb6Qzd,*******,*******,*******,*******,*******,*******,anonymous,EN,Llw62,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,Should use mobile device instead of laptop to post,,,,,Add a summary list of all posts’ titles in “community” page,,,,,,
2022-09-30 12:31:47,2022-09-30 12:33:14,IP Address,*******,100,86,True,2022-09-30 12:33:15,R_Qbjaen8b9sm2mrf,*******,*******,*******,*******,*******,*******,anonymous,EN,"Tma62 ",No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-09-30 12:31:14,2022-09-30 12:33:17,IP Address,*******,100,122,True,2022-09-30 12:33:17,R_2SJrKEoBpQwzMjN,*******,*******,*******,*******,*******,*******,anonymous,EN,yis5,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,Add links to profiles of whom left comments,,,,
