StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q22,Q23,Q16_1,Q16_4,Q16_2,Q16_6,Q16_6_TEXT,Q17_1,Q17_3,Q17_4,Q17_6,Q17_6_TEXT,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your NetId (e.g. wz334),Did you encounter any technical bugs when using the app in the last 3 weeks?,What bugs did you meet?,I enjoyed participating in this project.,This project was interesting.,I did not care about what I did in this project.,This project helped me apply theories/concepts in real-life situations.,This project helped me have a deeper understanding of theories/concepts taught in DEA1500.,This project helped me have a better understanding of my physical surroundings.,I put effort into posting and commenting.,I tried to find a good scenario to post every time.,I kept browsing through peers’ posts to understand their ideas.,I tried to enhance my understanding of the course knowledge through reading others’ comments on my posts.,"I think the change to the guideline: ""post topics are allowed to choose in the last 2 weeks'"" increased my engagement.","I think the change to the App: ""adding @TA feature"" increased my engagement.",What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Should randomly comment to posts in the same topic,What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Should comment to posts that are not commented yet,"What possible changes to the guideline do you think would increase your engagement in this project? - Selected Choice - Others, please specify","What possible changes to the guideline do you think would increase your engagement in this project? - Others, please specify - Text",What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Default post order in “community” page should be organized by random rather than by time,What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Add an @peers feature to ask for peers' opinions,What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Add links to profiles of whom left comments,"What possible changes to the app do you think would increase your engagement in this project? - Selected Choice - Others, please specify","What possible changes to the app do you think would increase your engagement in this project? - Others, please specify - Text",Is there anything you want to share with us regarding your experience participating in this project?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID16"",""choiceId"":""1""}","{""ImportId"":""QID16"",""choiceId"":""4""}","{""ImportId"":""QID16"",""choiceId"":""2""}","{""ImportId"":""QID16"",""choiceId"":""6""}","{""ImportId"":""QID16_6_TEXT""}","{""ImportId"":""QID17"",""choiceId"":""1""}","{""ImportId"":""QID17"",""choiceId"":""3""}","{""ImportId"":""QID17"",""choiceId"":""4""}","{""ImportId"":""QID17"",""choiceId"":""6""}","{""ImportId"":""QID17_6_TEXT""}","{""ImportId"":""QID21_TEXT""}"
2022-11-07 07:54:21,2022-11-07 07:55:30,IP Address,*******,100,68,True,2022-11-07 07:55:31,R_57QDzFXaZhgT6RH,*******,*******,*******,*******,*******,*******,anonymous,EN,jms834,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,Default post order in “community” page should be organized by random rather than by time,,,,,NA
2022-11-07 07:59:51,2022-11-07 08:02:44,IP Address,*******,100,173,True,2022-11-07 08:02:45,R_cGDklcoRM46TS49,*******,*******,*******,*******,*******,*******,anonymous,EN,jg2252,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,,"Others, please specify",No change needed,,,,"Others, please specify",No change needed,
2022-11-07 08:03:44,2022-11-07 08:04:28,IP Address,*******,100,43,True,2022-11-07 08:04:28,R_12osMHZj6vR4zWX,*******,*******,*******,*******,*******,*******,anonymous,EN,gme35,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 08:08:09,2022-11-07 08:11:27,IP Address,*******,100,198,True,2022-11-07 08:11:27,R_1erPQu4uMmjotr9,*******,*******,*******,*******,*******,*******,anonymous,EN,dl963,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 08:10:03,2022-11-07 08:12:21,IP Address,*******,100,138,True,2022-11-07 08:12:22,R_2Cd34cYl6LEhg8c,*******,*******,*******,*******,*******,*******,anonymous,EN,jrd327,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 08:12:54,2022-11-07 08:14:29,IP Address,*******,100,95,True,2022-11-07 08:14:30,R_AC0ysd78pMaLVtL,*******,*******,*******,*******,*******,*******,anonymous,EN,cjy27,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,Should randomly comment to posts in the same topic,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 08:17:48,2022-11-07 08:20:36,IP Address,*******,100,168,True,2022-11-07 08:20:36,R_3kMST54DZTKhZlX,*******,*******,*******,*******,*******,*******,anonymous,EN,ic277,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,I like how this project has kept me engaged in the course topics as it keeps me remembering the HER processes we are learning and their applications.
2022-11-07 08:17:20,2022-11-07 08:23:30,IP Address,*******,100,369,True,2022-11-07 08:23:30,R_RaIQLCteoCZnUOJ,*******,*******,*******,*******,*******,*******,anonymous,EN,hys22,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 08:36:12,2022-11-07 08:36:42,IP Address,*******,100,30,True,2022-11-07 08:36:43,R_2pYb1zCGWqIp9co,*******,*******,*******,*******,*******,*******,anonymous,EN,jz485,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,,,,
2022-11-07 09:14:55,2022-11-07 09:16:05,IP Address,*******,100,69,True,2022-11-07 09:16:05,R_2VLb03UjNSwiEfL,*******,*******,*******,*******,*******,*******,anonymous,EN,alm384,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,,,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-07 09:14:47,2022-11-07 09:19:57,IP Address,*******,100,309,True,2022-11-07 09:19:57,R_OEhFanlPw1MMeuB,*******,*******,*******,*******,*******,*******,anonymous,EN,smg377,Yes,"Image wouldn't upload on my laptop, had to use my iPhone",Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-07 09:24:04,2022-11-07 09:25:30,IP Address,*******,100,85,True,2022-11-07 09:25:30,R_1PTr40coAeC1Ccb,*******,*******,*******,*******,*******,*******,anonymous,EN,dbl67,No,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 09:57:19,2022-11-07 09:58:47,IP Address,*******,100,88,True,2022-11-07 09:58:47,R_2TsZltIxdAxJHsW,*******,*******,*******,*******,*******,*******,anonymous,EN,mrl253,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,
2022-11-07 08:22:57,2022-11-07 10:43:41,IP Address,*******,100,8443,True,2022-11-07 10:43:41,R_R9N1kRxuOCRMLC1,*******,*******,*******,*******,*******,*******,anonymous,EN,jta52,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,
2022-11-07 10:46:25,2022-11-07 10:48:01,IP Address,*******,100,95,True,2022-11-07 10:48:01,R_AEXeU9tQhUwrweR,*******,*******,*******,*******,*******,*******,anonymous,EN,Na427,No,,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,,,,
2022-11-07 11:22:21,2022-11-07 11:24:06,IP Address,*******,100,105,True,2022-11-07 11:24:06,R_STbu1IZqmM1GNix,*******,*******,*******,*******,*******,*******,anonymous,EN,tvf6,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 12:06:51,2022-11-07 12:09:07,IP Address,*******,100,135,True,2022-11-07 12:09:07,R_3fjUN9KyvrCl1S3,*******,*******,*******,*******,*******,*******,anonymous,EN,ama386,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,
2022-11-07 12:11:13,2022-11-07 12:13:33,IP Address,*******,100,140,True,2022-11-07 12:13:33,R_1g1poB0eBvG0jv2,*******,*******,*******,*******,*******,*******,anonymous,EN,wc465,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 13:10:50,2022-11-07 13:13:34,IP Address,*******,100,163,True,2022-11-07 13:13:34,R_22rYwsHIOKJlrbZ,*******,*******,*******,*******,*******,*******,anonymous,EN,eew64,No,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,,"Others, please specify",none of the above,,,,"Others, please specify",organize posts in community page by topic,
2022-11-07 13:13:27,2022-11-07 13:16:54,IP Address,*******,100,206,True,2022-11-07 13:16:54,R_1CwF0dwyKfagmAO,*******,*******,*******,*******,*******,*******,anonymous,EN,eay28,No,,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 16:06:37,2022-11-07 16:07:55,IP Address,*******,100,77,True,2022-11-07 16:07:55,R_2Ce9kulvNdw7UIT,*******,*******,*******,*******,*******,*******,anonymous,EN,crd229,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,n/a
2022-11-07 18:28:33,2022-11-07 18:30:36,IP Address,*******,100,123,True,2022-11-07 18:30:36,R_6VzdrVwkHURy4Pn,*******,*******,*******,*******,*******,*******,anonymous,EN,rmb358,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-08 08:30:47,2022-11-08 08:32:57,IP Address,*******,100,130,True,2022-11-08 08:32:57,R_3inhjBLBVq2ES6b,*******,*******,*******,*******,*******,*******,anonymous,EN,sjw258,No,,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,Nope!
2022-11-08 08:30:53,2022-11-08 08:34:11,IP Address,*******,100,197,True,2022-11-08 08:34:11,R_xnps2yYj99Xxdx7,*******,*******,*******,*******,*******,*******,anonymous,EN,dmf233,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,,,,no
2022-11-08 10:39:14,2022-11-08 10:40:39,IP Address,*******,100,85,True,2022-11-08 10:40:40,R_55D00nD5qOdh75D,*******,*******,*******,*******,*******,*******,anonymous,EN,lyl26,Yes,Couldn't see other people's recent posts,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-08 11:43:27,2022-11-08 11:48:57,IP Address,*******,100,329,True,2022-11-08 11:48:58,R_2xyqvnF5qIiicLd,*******,*******,*******,*******,*******,*******,anonymous,EN,kmt224,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,n/a
2022-11-08 15:50:43,2022-11-08 16:00:41,IP Address,*******,100,597,True,2022-11-08 16:00:41,R_1f7dsLPAj3fdoYh,*******,*******,*******,*******,*******,*******,anonymous,EN,hes222,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,"Others, please specify",none,,,Add links to profiles of whom left comments,,,no
2022-11-08 20:10:46,2022-11-08 20:11:53,IP Address,*******,100,67,True,2022-11-08 20:11:53,R_3qfLPMqnx4j4Avb,*******,*******,*******,*******,*******,*******,anonymous,EN,Mc2594,No,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,Add links to profiles of whom left comments,,,
2022-11-07 14:28:48,2022-11-09 15:52:01,IP Address,*******,100,177792,True,2022-11-09 15:52:01,R_2arFf0R6iH6JAg6,*******,*******,*******,*******,*******,*******,anonymous,EN,vas57,No,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,N/A
2022-11-09 16:42:10,2022-11-09 16:44:02,IP Address,*******,100,112,True,2022-11-09 16:44:02,R_tVC7UUOcVwXAcLv,*******,*******,*******,*******,*******,*******,anonymous,EN,eam358,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,
